Plate read,Plate image,Context image,Address,Patroller,LPR unit,User,Event timestamp,Rule,Manual capture,Device
HHVP04,C:\Users\gerardo\Documents\Image0-0 (68).jpg,C:\Users\gerardo\Documents\Image1-0 (68).jpg,,,SHARPXS0865,,12/6/2019 6:01:26 AM,,No,PG2 SE (Center) Entry
B20Q,C:\Users\gerardo\Documents\Image0-1 (38).jpg,C:\Users\gerardo\Documents\Image1-1 (68).jpg,,,SHARPXS0865,,12/6/2019 6:05:49 AM,,No,PG2 SE (Center) Entry
IZUZ22,C:\Users\gerardo\Documents\Image0-2 (40).jpg,C:\Users\gerardo\Documents\Image1-2 (68).jpg,,,SHARPXS0865,,12/6/2019 6:10:29 AM,,No,PG2 SE (Center) Entry
JRTE69,C:\Users\gerardo\Documents\Image0-3 (37).jpg,C:\Users\gerardo\Documents\Image1-3 (68).jpg,,,SHARPXS0822,,12/6/2019 6:17:11 AM,,No,PG2 NW Entry
IYWM36,C:\Users\gerardo\Documents\Image0-4 (37).jpg,C:\Users\gerardo\Documents\Image1-4 (68).jpg,,,SHARPXS0822,,12/6/2019 6:19:32 AM,,No,PG2 NW Entry
ICRC79,C:\Users\gerardo\Documents\Image0-5 (39).jpg,C:\Users\gerardo\Documents\Image1-5 (68).jpg,,,SHARPXS0822,,12/6/2019 6:20:31 AM,,No,PG2 NW Entry
JRTE69,C:\Users\gerardo\Documents\Image0-6 (34).jpg,C:\Users\gerardo\Documents\Image1-6 (68).jpg,,,SHARPXS0866,,12/6/2019 6:21:52 AM,,No,PG2 SE Exit
LNPG16,C:\Users\gerardo\Documents\Image0-7 (37).jpg,C:\Users\gerardo\Documents\Image1-7 (68).jpg,,,SHARPXS0865,,12/6/2019 6:29:56 AM,,No,PG2 SE (Center) Entry
HDUC51,C:\Users\gerardo\Documents\Image0-8 (34).jpg,C:\Users\gerardo\Documents\Image1-8 (68).jpg,,,SHARPXS0865,,12/6/2019 6:32:03 AM,,No,PG2 SE (Center) Entry
BNDX82,C:\Users\gerardo\Documents\Image0-9 (36).jpg,C:\Users\gerardo\Documents\Image1-9 (68).jpg,,,SHARPXS0865,,12/6/2019 6:34:25 AM,,No,PG2 SE (Center) Entry
EMFM95,C:\Users\gerardo\Documents\Image0-10 (33).jpg,C:\Users\gerardo\Documents\Image1-10 (68).jpg,,,SHARPXS0865,,12/6/2019 6:42:35 AM,,No,PG2 SE (Center) Entry
YN554,C:\Users\gerardo\Documents\Image0-11 (34).jpg,C:\Users\gerardo\Documents\Image1-11 (68).jpg,,,SHARPXS0822,,12/6/2019 6:44:00 AM,,No,PG2 NW Entry
CQWF79,C:\Users\gerardo\Documents\Image0-12 (34).jpg,C:\Users\gerardo\Documents\Image1-12 (67).jpg,,,SHARPXS0865,,12/6/2019 6:44:40 AM,,No,PG2 SE (Center) Entry
KAVL77,C:\Users\gerardo\Documents\Image0-13 (37).jpg,C:\Users\gerardo\Documents\Image1-13 (67).jpg,,,SHARPXS0822,,12/6/2019 6:46:16 AM,,No,PG2 NW Entry
054TLS,C:\Users\gerardo\Documents\Image0-14 (37).jpg,C:\Users\gerardo\Documents\Image1-14 (67).jpg,,,SHARPXS0865,,12/6/2019 6:46:30 AM,,No,PG2 SE (Center) Entry
YJ790,C:\Users\gerardo\Documents\Image0-15 (35).jpg,C:\Users\gerardo\Documents\Image1-15 (67).jpg,,,SHARPXS0865,,12/6/2019 6:47:01 AM,,No,PG2 SE (Center) Entry
HVDM65,C:\Users\gerardo\Documents\Image0-16 (35).jpg,C:\Users\gerardo\Documents\Image1-16 (67).jpg,,,SHARPXS0865,,12/6/2019 6:47:03 AM,,No,PG2 SE Entry
