Plate read,Plate image,Context image,Address,Patroller,LPR unit,User,Event timestamp,Rule,Manual capture,Device
NOPLATE,C:\Users\gerardo\Documents\Image0-0 (73).jpg,C:\Users\gerardo\Documents\Image1-0 (73).jpg,,,SHARPV03090,,12/2/2019 6:00:17 AM,,No,PG4 East Entry
NOPLATE,C:\Users\gerardo\Documents\Image0-0 (73).jpg,C:\Users\gerardo\Documents\Image1-1 (73).jpg,,,SHARPV03682,,12/2/2019 6:04:11 AM,,No,PG3 South East Exit
NOPLATE,C:\Users\gerardo\Documents\Image0-0 (73).jpg,C:\Users\gerardo\Documents\Image1-2 (73).jpg,,,SHARPV03161,,12/2/2019 6:07:51 AM,,No,PG6 East Entry
NOPLATE,C:\Users\gerardo\Documents\Image0-3 (42).jpg,C:\Users\gerardo\Documents\Image1-3 (73).jpg,,,SHARPXS0861,,12/2/2019 6:13:09 AM,,No,PG3 North East Entry
NOPLATE,C:\Users\gerardo\Documents\Image0-3 (42).jpg,C:\Users\gerardo\Documents\Image1-4 (73).jpg,,,SHARPXS0862,,12/2/2019 6:17:57 AM,,No,PG3 East Exit
NOPLATE,C:\Users\gerardo\Documents\Image0-0 (73).jpg,C:\Users\gerardo\Documents\Image1-5 (73).jpg,,,SHARPV03090,,12/2/2019 6:17:59 AM,,No,PG4 East Entry
NOPLATE,C:\Users\gerardo\Documents\Image0-3 (42).jpg,C:\Users\gerardo\Documents\Image1-6 (73).jpg,,,SHARPXS0861,,12/2/2019 6:18:05 AM,,No,PG3 East Entry
NOPLATE,C:\Users\gerardo\Documents\Image0-0 (73).jpg,C:\Users\gerardo\Documents\Image1-7 (73).jpg,,,SHARPV03682,,12/2/2019 6:19:02 AM,,No,PG3 South East Exit
NOPLATE,C:\Users\gerardo\Documents\Image0-0 (73).jpg,C:\Users\gerardo\Documents\Image1-8 (73).jpg,,,SHARPV03132,,12/2/2019 6:21:09 AM,,No,PG6 West Entry
NOPLATE,C:\Users\gerardo\Documents\Image0-3 (42).jpg,C:\Users\gerardo\Documents\Image1-9 (73).jpg,,,SHARPXS0865,,12/2/2019 6:22:32 AM,,No,PG2 SE (Center) Entry
NOPLATE,C:\Users\gerardo\Documents\Image0-0 (73).jpg,C:\Users\gerardo\Documents\Image1-10 (73).jpg,,,SHARPV03066,,12/2/2019 6:25:04 AM,,No,PG4 South East Exit
NOPLATE,C:\Users\gerardo\Documents\Image0-0 (73).jpg,C:\Users\gerardo\Documents\Image1-11 (73).jpg,,,SHARPV03261,,12/2/2019 6:25:09 AM,,No,PG6 West Exit
NOPLATE,C:\Users\gerardo\Documents\Image0-3 (42).jpg,C:\Users\gerardo\Documents\Image1-12 (72).jpg,,,SHARPXS0861,,12/2/2019 6:27:04 AM,,No,PG3 North East Entry
NOPLATE,C:\Users\gerardo\Documents\Image0-3 (42).jpg,C:\Users\gerardo\Documents\Image1-13 (72).jpg,,,SHARPXS0862,,12/2/2019 6:27:10 AM,,No,PG3 East Exit
NOPLATE,C:\Users\gerardo\Documents\Image0-0 (73).jpg,C:\Users\gerardo\Documents\Image1-14 (72).jpg,,,SHARPV03066,,12/2/2019 6:29:28 AM,,No,PG4 South East Exit
NOPLATE,C:\Users\gerardo\Documents\Image0-0 (73).jpg,C:\Users\gerardo\Documents\Image1-15 (72).jpg,,,SHARPV03066,,12/2/2019 6:29:46 AM,,No,PG4 South East Exit
