Plate read,Plate image,Context image,Address,Patroller,LPR unit,User,Event timestamp,Rule,Manual capture,Device
HDNU98,C:\Users\gerardo\Documents\Image0-0 (44).jpg,C:\Users\gerardo\Documents\Image1-0 (44).jpg,,,SHARPXS0865,,12/2/2019 6:03,,No,PG2 SE (Center) Entry
HHVP04,C:\Users\gerardo\Documents\Image0-1 (14).jpg,C:\Users\gerardo\Documents\Image1-1 (44).jpg,,,SHARPXS0865,,12/2/2019 6:07,,No,PG2 SE (Center) Entry
YR158,C:\Users\gerardo\Documents\Image0-2 (16).jpg,C:\Users\gerardo\Documents\Image1-2 (44).jpg,,,SHARPXS0865,,12/2/2019 6:12,,No,PG2 SE (Center) Entry
IVGS74,C:\Users\gerardo\Documents\Image0-3 (13).jpg,C:\Users\gerardo\Documents\Image1-3 (44).jpg,,,SHARPXS0822,,12/2/2019 6:14,,No,PG2 NW Entry
IZUZ22,C:\Users\gerardo\Documents\Image0-4 (14).jpg,C:\Users\gerardo\Documents\Image1-4 (44).jpg,,,SHARPXS0865,,12/2/2019 6:16,,No,PG2 SE (Center) Entry
KNTM66,C:\Users\gerardo\Documents\Image0-5 (16).jpg,C:\Users\gerardo\Documents\Image1-5 (44).jpg,,,SHARPXS0865,,12/2/2019 6:16,,No,PG2 SE (Center) Entry
YR158,C:\Users\gerardo\Documents\Image0-6 (13).jpg,C:\Users\gerardo\Documents\Image1-6 (44).jpg,,,SHARPXS0866,,12/2/2019 6:18,,No,PG2 SE Exit
LNPG16,C:\Users\gerardo\Documents\Image0-7 (14).jpg,C:\Users\gerardo\Documents\Image1-7 (44).jpg,,,SHARPXS0865,,12/2/2019 6:20,,No,PG2 SE (Center) Entry
NOPLATE,C:\Users\gerardo\Documents\Image0-8 (13).jpg,C:\Users\gerardo\Documents\Image1-8 (44).jpg,,,SHARPXS0865,,12/2/2019 6:22,,No,PG2 SE (Center) Entry
WIW4U,C:\Users\gerardo\Documents\Image0-9 (13).jpg,C:\Users\gerardo\Documents\Image1-9 (44).jpg,,,SHARPXS0865,,12/2/2019 6:23,,No,PG2 SE (Center) Entry
ASMZ08,C:\Users\gerardo\Documents\Image0-10 (13).jpg,C:\Users\gerardo\Documents\Image1-10 (44).jpg,,,SHARPXS0865,,12/2/2019 6:32,,No,PG2 SE (Center) Entry
HDUC51,C:\Users\gerardo\Documents\Image0-11 (11).jpg,C:\Users\gerardo\Documents\Image1-11 (44).jpg,,,SHARPXS0865,,12/2/2019 6:35,,No,PG2 SE (Center) Entry
HFMR63,C:\Users\gerardo\Documents\Image0-12 (13).jpg,C:\Users\gerardo\Documents\Image1-12 (43).jpg,,,SHARPXS0822,,12/2/2019 6:35,,No,PG2 NW Entry
HVDM65,C:\Users\gerardo\Documents\Image0-13 (13).jpg,C:\Users\gerardo\Documents\Image1-13 (43).jpg,,,SHARPXS0865,,12/2/2019 6:36,,No,PG2 SE Entry
EMFM95,C:\Users\gerardo\Documents\Image0-14 (13).jpg,C:\Users\gerardo\Documents\Image1-14 (43).jpg,,,SHARPXS0865,,12/2/2019 6:39,,No,PG2 SE (Center) Entry
DLPJ57,C:\Users\gerardo\Documents\Image0-15 (13).jpg,C:\Users\gerardo\Documents\Image1-15 (43).jpg,,,SHARPXS0866,,12/2/2019 6:40,,No,PG2 SE Exit
KSWE29,C:\Users\gerardo\Documents\Image0-16 (14).jpg,C:\Users\gerardo\Documents\Image1-16 (43).jpg,,,SHARPXS0865,,12/2/2019 6:41,,No,PG2 SE (Center) Entry
ITFA38,C:\Users\gerardo\Documents\Image0-17 (14).jpg,C:\Users\gerardo\Documents\Image1-17 (43).jpg,,,SHARPXS0865,,12/2/2019 6:41,,No,PG2 SE (Center) Entry
EFKS91,C:\Users\gerardo\Documents\Image0-18 (14).jpg,C:\Users\gerardo\Documents\Image1-18 (43).jpg,,,SHARPXS0822,,12/2/2019 6:42,,No,PG2 NW Entry
NOPLATE,C:\Users\gerardo\Documents\Image0-8 (13).jpg,C:\Users\gerardo\Documents\Image1-19 (43).jpg,,,SHARPXS0866,,12/2/2019 6:44,,No,PG2 SE Exit
CQWF79,C:\Users\gerardo\Documents\Image0-20 (14).jpg,C:\Users\gerardo\Documents\Image1-20 (43).jpg,,,SHARPXS0865,,12/2/2019 6:45,,No,PG2 SE (Center) Entry
LEJI03,C:\Users\gerardo\Documents\Image0-21 (14).jpg,C:\Users\gerardo\Documents\Image1-21 (43).jpg,,,SHARPXS0865,,12/2/2019 6:45,,No,PG2 SE (Center) Entry
KNTQ13,C:\Users\gerardo\Documents\Image0-22 (14).jpg,C:\Users\gerardo\Documents\Image1-22 (43).jpg,,,SHARPXS0866,,12/2/2019 6:45,,No,PG2 SE Exit
GUXW14,C:\Users\gerardo\Documents\Image0-23 (12).jpg,C:\Users\gerardo\Documents\Image1-23 (43).jpg,,,SHARPXS0865,,12/2/2019 6:49,,No,PG2 SE (Center) Entry
